,1,key,labels,0
189,-8.381568,5799667458,4,0.7395531
190,-7.1630745,9200379281,4,0.84701645
191,-2.8392003,5048147796,1,0.21149287
192,3.77461,3980955586,3,0.5441913
193,4.5391574,5290573341,2,0.3889257
194,3.4702823,9321280361,5,0.84508145
195,11.287168,7500772676,0,0.6169303
196,-9.404145,9174656236,1,0.05119824
197,3.1872227,2298418665,3,0.5513297
198,5.021415,9564100568,2,0.42285606
199,-12.252322,9726556239,2,0.50497454
200,10.057621,7875434777,5,0.9380426
201,0.5016392,2947726925,4,0.66896033
202,-4.5388107,2814866855,2,0.4715595
203,12.365708,4260517362,3,0.7677697
204,-13.551551,10493793465,1,0.313393
205,-5.9425826,9586034317,2,0.34280103
206,11.915817,3037280842,3,0.8413132
207,1.1208389,2393813760,1,0.17484619
208,-6.639046,5426914827,3,0.72112364
209,-16.065521,10110565254,2,0.43992168
210,-11.39636,8436540834,1,0.12225883
211,11.596061,8914914855,5,0.9551078
212,4.741267,6961500153,5,0.94348854
213,7.968635,2946411341,2,0.5433749
214,5.0799665,8696517882,2,0.28491065
215,-0.6049193,1743716936,2,0.26380375
216,-1.9615213,4631636135,4,0.6739821
217,7.0499253,8565109168,3,0.69755733
218,-10.4512615,10499529313,1,0.12507983
219,22.46343,5551501654,5,0.62699515
220,18.071695,4515355822,0,0.5985213
221,12.965259,9594789501,3,0.85033166
222,-5.737517,10900851586,2,0.26190835
223,-7.2042856,4635517010,2,0.6274021
224,5.043223,7734636064,5,0.9197535
225,-13.784525,6995329782,2,0.33078513
226,-10.958558,6562964307,1,0.06267239
227,-8.393518,4518605814,2,0.43256545
228,-7.1695876,3207632474,1,0.1909154
229,11.995635,6727451147,0,0.48874658
230,6.026889,5173041637,2,0.44437066
231,0.17876457,5815101734,2,0.4004859
232,5.3433404,4371451831,5,0.8732876
233,-6.0581374,6331371496,1,0.12679806
234,-2.7535813,4110239506,4,0.69997483
235,-0.3272687,5414592832,2,0.45934942
236,16.690996,7512248101,0,0.6897398
237,10.250918,5262621361,4,0.4525143
238,-7.803874,7385091445,1,0.15972243
239,-4.330936,1901127340,2,0.35900626
240,6.16409,7130113672,3,0.83464754
241,-3.3488777,10625733574,1,0.02191079
242,17.793606,5429516024,0,0.6530019
243,-9.059105,979247836,1,0.3031799
244,-11.446391,6963767002,4,0.7787549
245,-5.727151,6212433890,2,0.3502516
246,-2.755705,4893404815,2,0.30770102
247,0.21339782,4650763160,2,0.46077427
248,4.607939,9475510803,3,0.740007
249,7.035318,4128328073,2,0.27072102
250,2.5670033,5030149539,2,0.6122804
